Code;Description;Service
4703;Nitrate d'ammonium ou d'engrais hors spécification;SRT-BRIEC
4705;Nitrate de potassium et engrais composés (sous forme de comprimés ou de granulés);SRT-BRIEC
4706;Nitrate de potassium et engrais composés (sous forme de cristaux);SRT-BRIEC
4707;Pentoxyde d'arsenic;SRT-BRIEC
4708;Trioxyde d'arsenic;SRT-BRIEC
4709;Brome;SRT-BRIEC
4710;Chlore;SRT-BRIEC
4711;Composés de nickel;SRT-BRIEC
4712;Ethylèneimine;SRT-BRIEC
4713;Fluor;SRT-BRIEC
4714;Formaldéhyde;SRT-BRIEC
4715;Hydrogène;SRT-BRIEC
4716;Chlorure d'hydrogène;SRT-BRIEC
4717;Plombs alkyls;SRT-BRIEC
4718;Gaz inflammables liquéfiés de catégorie 1 et 2;SRT-BRIEC
4719;Acétylène;SRT-BRIEC
4720;Oxyde d'éthylène;SRT-BRIEC
4721;Oxyde de propylène;SRT-BRIEC
4722;Méthanol;SRT-BRIEC
4723;4,4-méthylène-bis;SRT-BRIEC
4724;Isocyanate de méthyle;SRT-BRIEC
4725;Oxygène;SRT-BRIEC
4726;2,4-diisocyanate de toluène;SRT-BRIEC
4727;Dichlorure de carbonyle (phosgène);SRT-BRIEC
4728;Arsine;SRT-BRIEC
4729;Phosphine;SRT-BRIEC
4730;Dichlorure de soufre;SRT-BRIEC
4731;Trioxyde de soufre;SRT-BRIEC
4732;Polychlorodibenzofuranes et polychlorodibenzodioxines;SRT-BRIEC
4733;Cancérogènes;SRT-BRIEC
4734;Produits pétroliers spécifiques et carburants de substitution;SRT-BRIEC
4735;Ammoniac;SRT-BRIEC
4736;Trifluorure de bore;SRT-BRIEC
4737;Sulfure d'hydrogène;SRT-BRIEC
4738;Pipéridine;SRT-BRIEC
4739;Bis(2-dimethylaminoéthyl)(méthyl)amine;SRT-BRIEC
4740;3-(2-Ethylhexyloxy)propylamine;SRT-BRIEC
4741;Les mélanges d'hypochlorite de sodium;SRT-BRIEC
4742;Propylamine;SRT-BRIEC
4743;Acrylate de tert-butyl;SRT-BRIEC
4744;2-méthyl-3-butènenitrile;SRT-BRIEC
4745;Tétrahydro-3,5-diméthyl-1,3,5, thiadiazine-2-thione (dazomet);SRT-BRIEC
4746;Acrylate de méthyle;SRT-BRIEC
4747;3-Méthylpyridine;SRT-BRIEC
4748;1-bromo-3-chloropropane;SRT-BRIEC
4749;Perchlorate d'ammonium;SRT-BRIEC
4755;Alcools de bouche d'origine agricole;SRT-BRIEC
4801;Houille, coke,...;SRT-BRIEC
