,Code,Description
192,3532,Valorisation de déchets non dangereux
193,3540,Installation de stockage de déchets
194,3550,Stockage temporaire de déchets
195,3560,Stockage souterrain de déchets dangereux
196,3610,"Fabrication de pâte à papier, papier, carton, panneaux de bois"
197,3620,Prétraitement ou teinture de textiles
198,3630,Tannage des peaux
199,3641,Exploitation d'abattoirs
200,3642,Traitement et transformation de matières premières en vue de la fabrication de produits alimentaires
201,3643,Traitement et transformation du lait
202,3650,Élimination ou recyclage de carcasses ou de sous-produits animaux
203,3660,Élevage intensif
204,3670,Traitement de surface de matières à l'aide de solvants organiques
205,3680,Fabrication de carbone
206,3690,Captage des flux de CO2
207,3700,Préservation du bois
208,3710,Traitement des eaux résiduaires
210,4000,Substances et mélanges dangereux (définition et classification des)
211,4001,Installations présentant un grand nombre de substances
212,4110,Toxicité aiguë catégorie 1
213,4120,Toxicité aiguë catégorie 2
214,4130,Toxicité aiguë catégorie 3 / inhalation.
215,4140,Toxicité aiguë catégorie 3 / orale
216,4150,Toxicité spécifique pour certains organes cibles
217,4210,Produits explosifs
218,4220,Produits explosifs (stockage de)
219,4240,Produits explosibles
220,4310,Gaz inflammables catégorie 1 et 2.
221,4320,Aérosols extrêmement inflammables ou inflammables [...]
222,4321,Aérosols extrêmement inflammables ou inflammables [...]
223,4330,Liquides inflammables de catégorie 1
224,4331,Liquides inflammables de catégorie 2 ou catégorie 3
225,4410,Substances et mélanges autoréactifs type A ou type B
226,4411,"Substances et mélanges autoréactifs type C, D, E ou F"
227,4420,Peroxydes organiques type A ou type B
228,4421,Peroxydes organiques type C ou type D
229,4422,Peroxydes organiques type E ou type F
230,4430,Solides pyrophoriques catégorie 1.
231,4431,Liquides pyrophoriques catégorie 1
232,4440,"Solides comburants catégorie 1, 2 ou 3"
233,4441,"Liquides comburants catégorie 1, 2 ou 3"
234,4442,Gaz comburants catégorie 1
235,4510,Dangereux pour l'environnement aquatique 1
236,4511,Dangereux pour l'environnement aquatique 2
237,4610,Substances ou mélanges auxquels est attribuée la mention de danger EUH014
238,4620,"Substances et mélanges qui, au contact de l'eau, dégagent des gaz inflammables, catégorie 1"
239,4630,Substances ou mélanges auxquels est attribuée la mention de danger EUH029
240,4701,Nitrate d'ammonium.
241,4702,Engrais solides simples et composés à base de nitrate d'ammonium
242,4703,Nitrate d'ammonium ou d'engrais hors spécification
243,4705,Nitrate de potassium et engrais composés (sous forme de comprimés ou de granulés)
244,4706,Nitrate de potassium et engrais composés (sous forme de cristaux)
245,4707,Pentoxyde d'arsenic
246,4708,Trioxyde d'arsenic
247,4709,Brome
248,4710,Chlore
249,4711,Composés de nickel
250,4712,Ethylèneimine
251,4713,Fluor
252,4714,Formaldéhyde
253,4715,Hydrogène
254,4716,Chlorure d'hydrogène
255,4717,Plombs alkyls
256,4718,Gaz inflammables liquéfiés de catégorie 1 et 2
257,4719,Acétylène
258,4720,Oxyde d'éthylène
259,4721,Oxyde de propylène
260,4722,Méthanol
261,4723,"4,4-méthylène-bis"
262,4724,Isocyanate de méthyle
263,4725,Oxygène
264,4726,"2,4-diisocyanate de toluène"
265,4727,Dichlorure de carbonyle (phosgène)
266,4728,Arsine
267,4729,Phosphine
268,4730,Dichlorure de soufre
269,4731,Trioxyde de soufre
270,4732,Polychlorodibenzofuranes et polychlorodibenzodioxines
271,4733,Cancérogènes
272,4734,Produits pétroliers spécifiques et carburants de substitution
273,4735,Ammoniac
274,4736,Trifluorure de bore
275,4737,Sulfure d'hydrogène
276,4738,Pipéridine
277,4739,Bis(2-dimethylaminoéthyl)(méthyl)amine
278,4740,3-(2-Ethylhexyloxy)propylamine
279,4741,Les mélanges d'hypochlorite de sodium
280,4742,Propylamine
281,4743,Acrylate de tert-butyl
282,4744,2-méthyl-3-butènenitrile
283,4745,"Tétrahydro-3,5-diméthyl-1,3,5, thiadiazine-2-thione (dazomet)"
284,4746,Acrylate de méthyle
285,4747,3-Méthylpyridine
286,4748,1-bromo-3-chloropropane
287,4749,Perchlorate d'ammonium
288,4755,Alcools de bouche d'origine agricole
289,4801,"Houille, coke,..."
